other_species_id,other_species_group,other_species_code,other_species_name,other_species_sensitive,other_species_np,other_species_size_min,other_species_size_max,other_species_unit,other_species_category,other_species_motivation,site_code,year,id_reporte,other_species_type,other_species_id_type,other_species_id_unit
473,P,,Launaea lanifera Pau,,,1.0,13.0,grids1x1,,D,ES6200039,2023,135,np,203,22.0
510,P,,Lupinus mariae-josephae H.Pascual,,,13970.0,13970.0,i,,D,ES5213019,2023,135,np,203,36.0
540,P,,"Moricandia moricandioides subsp. pseudo-foetida Sánchez Gómez, M.Á.Carrión, A.Hern. & J.Guerra",,,21.0,21.0,grids1x1,R,"A,B,D",ES6200028,2023,135,np,203,22.0
542,P,,Narcissus bugei (Fern. Casas) Fern. Casas,,,4000.0,5000.0,i,V,"A,B,D",ES6120013,2023,135,np,203,36.0
546,P,,Narcissus nevadensis,1.0,,3005.0,7596.0,i,R,,ES6140004,2023,135,p,201,36.0
565,P,,Oreochloa blanka Deyl,,,1.0,1.0,grids10x10,R,"B,D",ES4130003,2023,135,np,203,47.0
566,P,,Oreochloa confusa (Coincy) Rouy,,,,,,P,"B,D",ES4240007,2023,135,np,203,
600,P,,Petasites paradoxus (Retz.) Baumg.,,,,,,V,D,ES2200009,2023,135,np,203,
612,P,,Pholiurus pannonicus (Host) Trin.,,,1.0,1.0,grids10x10,V,D,ES4160063,2023,135,np,203,47.0
616,P,,Poa cenisia All.,,,,,,V,D,ES0000164,2023,135,np,203,
618,P,,Poa laxa Haenke,,,1.0,1.0,grids10x10,R,D,ES4130003,2023,135,np,203,47.0
634,P,,Pulicaria paludosa Link,,,,,,P,D,ES0000275,2023,135,np,203,
636,P,,Pulicaria vulgaris Gaertn.,,,,,,,D,ES5310118,2023,135,np,203,
638,P,,Reichardia gaditana (Willk.) Samp.,,,,,,P,B,ES0000086,2023,135,np,203,
656,P,,Saccharum ravennae (L.) Murray,,,,,,P,D,ES0000138,2023,135,np,203,
661,P,,Santolina elegans Boiss.,,,200.0,2000.0,tufts,V,"A,D,IV",ES6140005,2023,135,np,203,41.0
661,P,1781,Santolina elegans,,,928.0,1378.0,tufts,R,"A,D,IV",ES0000035,2023,135,np,203,41.0
663,P,,Santolina oblongifolia Boiss.,,,2.0,2.0,grids10x10,C,"B,D",ES4150101,2023,135,np,203,47.0
665,P,,Santolina viscosa Lag.,,,4.0,,localities,P,D,ES6110012,2023,135,np,203,35.0
669,P,,Senecio adonidifolius Loisel.,,,1.0,1.0,tufts,P,D,ES0000035,2023,135,np,203,41.0
670,P,,Senecio alboranicus Maire,,,1000000.0,1500000.0,i,C,"A,B,D",ES6110015,2023,135,np,203,36.0
674,P,,Senecio auricula Coss.,,,1.0,1.0,grids10x10,,A,ES2420129,2023,135,np,203,47.0
675,P,,Senecio auricula subsp. castellanus Ascaso & Pedrol,,,,,,P,"A,B,D",ES4240019,2023,135,np,203,
676,P,,Jacobaea boissieri (DC.) Pelser,,,1.0,1.0,i,V,D,ES6140001,2023,135,np,203,36.0
685,P,,Senecio eriopus Willk.,,,,,i,P,"B,D",ES6140004,2023,135,np,203,36.0
687,P,,Senecio flavus (Decne.) Sch. Bip.,,,1.0,45.0,grids1x1,,"A,D",ES6200023,2023,135,np,203,22.0
700,P,,Scorzonera albicans Coss.,,,1000.0,100000.0,tufts,C,D,ES6140005,2023,135,np,203,41.0
704,P,,Scorzonera parviflora Jacq.,,,1.0,1.0,grids10x10,V,"A,D",ES4170148,2023,135,np,203,47.0
705,P,,Scorzonera reverchonii Hervier,,,,,,P,"B,D",ES4210016,2023,135,np,203,
711,P,,Scorzoneroides microcephala,,,61320.0,122639.0,i,P,,ES6140004,2023,135,p,201,36.0
713,P,,Scorzoneroides nevadensis (Lange) Greuter,,,,,tufts,P,D,ES6140001,2023,135,np,203,41.0
715,P,,Leontodon pyrenaicus Gouan,,,,,,V,D,ES2110009,2023,135,np,203,
719,P,,Senecio carpetanus Boiss. & Reut.,,,1.0,6.0,i,V,D,ES2110014,2023,135,np,203,36.0
740,P,,Senecio nevadensis,,,,,i,P,,ES6140004,2023,135,p,201,36.0
743,P,,Senecio pyrenaicus L.,,,,,,P,D,ES2430028,2023,135,np,203,
744,P,,Senecio quinqueradiatus DC.,,,10.0,10.0,i,R,"A,D",ES6140005,2023,135,np,203,36.0
745,P,,Senecio rodriguezii Rodr.,,,,,,,B,ES0000073,2023,135,np,203,
765,P,,Spartina densiflora Brongn.,,,,,,P,D,ES0000025,2023,135,np,203,
787,P,,Tanacetum microphyllum DC.,,,,,,P,"A,B",ES6130007,2023,135,np,203,
789,P,,Tanacetum vahlii DC.,,,1.0,1.0,grids1x1,V,"A,B,D",ES4140053,2023,135,np,203,22.0
790,P,,Teucrium cossonii D.Wood. subsp. cossonii,,,,,,,B,ES5310078,2023,135,np,203,
791,P,,"Teucrium cossonii subsp. punicum Mayol, Mus, Rosselló & Torres",,,,,,,B,ES0000078,2023,135,np,203,
795,P,,Tephroseris elodes,1.0,,837.0,1088.0,i,V,,ES6140004,2023,135,p,201,36.0
812,P,,Matricaria maritima L.,,,,,,P,D,ES2130003,2023,135,np,203,
819,P,,Trisetum hispidum Lange,,,,,,P,B,ES0000309,2023,135,np,203,
834,P,,Alchemilla fontqueri Rothm.,,,,,i,P,"A,B,D",ES6140004,2023,135,np,203,36.0
836,P,,Anthemis chrysantha J.Gay,,,1.0,1.0,grids1x1,,"A,D",ES6200007,2023,135,np,203,22.0
852,P,,Aster pyrenaeus,,,1.0,10000.0,i,,,ES1200001,2023,135,p,201,36.0
867,P,,Chaetopogon fasciculatus (Link) Hayek,,,1.0,1.0,grids10x10,V,D,ES4150100,2023,135,np,203,47.0
905,P,,Eleocharis austriaca Hayek,,,,,,P,"A,D",ES0000126,2023,135,np,203,
906,P,,Enneapogon persicus Boiss.,,,,,,V,A,ES0000264,2023,135,np,203,
964,P,,Micropyropsis tuberosa,,,135546.0,161342.0,area,P,,ES0000024,2023,135,p,201,9.0
974,P,1783,Picris willkommii,,,2700.0,2800.0,i,P,"A,D,IV",ES6150005,2023,135,np,203,36.0
982,P,,Rhamnus legionensis Rothm.,,,1.0,1.0,grids10x10,V,"A,B,D",ES4130117,2023,135,np,203,47.0
998,P,,"Armeria filicaulis subsp. nevadensis Nieto Fel., Rosselló & Fuertes",,,,,i,P,"A,B,D",ES6140004,2023,135,np,203,36.0
1051,P,,Utricularia exoleta R.Br.,,,,,,P,B,ES6150013,2023,135,np,203,
1063,P,,Gentianella amarella (L.) Börner subsp. amarella,,,,,,V,"A,D",ES4230014,2023,135,np,203,
1067,P,,Senecio coincyi Rouy,,1.0,1.0,1.0,grids10x10,,"A,B,D",ES4190105,2023,135,np,203,47.0
1256,P,,Dactylis smithii Link,,,,,,P,A,ES0000014,2023,135,np,203,
1528,P,,Vulpia fontquerana Melderis & Stace,,,,,,P,A,ES0000024,2023,135,np,203,
1609,P,,Alchemilla sierrae Romo,,,1.0,1.0,grids10x10,R,"A,B",ES0000003,2023,135,np,203,47.0
1612,P,,Alchemilla straminea Buser,,,,,i,P,D,ES6140004,2023,135,np,203,36.0
1639,P,,Achillea pyrenaica Godr.,,,,,,P,D,ES4240016,2023,135,np,203,
1681,P,,Adenocarpus telonensis (Loisel.) DC.,,,,,,P,A,ES4320018,2023,135,np,203,
1711,P,,Coincya monensis subsp. nevadensis (Willk.) Leadlay,,,,,i,P,"B,D",ES6140004,2023,135,np,203,36.0
1713,P,,Coincya monensis subsp. puberula (Pau) Leadlay,,,1.0,1.0,grids10x10,V,"A,B",ES4130003,2023,135,np,203,47.0
1715,P,1490,Coincya rupestris,,,,,,P,,ES0000158,2023,135,p,201,
1719,P,,Allium grosii,,,1300.0,,i,,,ES0000082,2023,135,p,201,36.0
1798,P,,Aconitum anthora L.,,,,,,P,A,ES2110022,2023,135,np,203,
1799,P,,Acer opalus subsp. granatense (Boiss.) Font Quer & Rothm.,,,2.0,,localities,R,D,ES6110008,2023,135,np,203,35.0
1803,P,,Aceras anthropophorum (L.) R. Br.,,,,,,R,D,ES0000266,2023,135,np,203,
1838,P,,Anabasis articulata (Forssk.) Moq.,,,1.0,1.0,grids1x1,,D,ES6200007,2023,135,np,203,22.0
1844,P,,Anagallis crassifolia Thore,,,1270.0,1270.0,i,V,"A,D",ES0000049,2023,135,np,203,36.0
1848,P,,Anagallis tenella (L.) L.,,,,,,P,D,ES0000173,2023,135,np,203,
1849,P,,Anagyris foetida L.,,,1.0,1.0,grids1x1,V,D,ES0000257,2023,135,np,203,22.0
1857,P,,Aconitum burnatii Gáyer,,,723.0,723.0,area,,"A,B",ES0000285,2023,135,np,203,9.0
1861,P,,Aconitum napellus subsp. castellanum Molero & C. Blanché,,,1.0,1.0,grids10x10,V,"A,B,D",ES4110002,2023,135,np,203,47.0
1863,P,,Aconitum variegatum subsp. pyrenaicum Vivant,,,,,,P,D,ES2120002,2023,135,np,203,
1864,P,,Aconitum vulparia subsp. neapolitanum (Ten.) Muñoz Garm.,,,,,i,P,D,ES6140004,2023,135,np,203,36.0
1866,P,,Actaea spicata L.,,,,,,V,"B,D",ES4230014,2023,135,np,203,
1868,P,,Adenocarpus argyrophyllus (Rivas Goday) Caball.,,,,,,C,D,ES4320077,2023,135,np,203,
1869,P,,Adenocarpus aureus (Cav.) Pau,,,,,,P,B,ES0000014,2023,135,np,203,
1870,P,,Adenocarpus complicatus (L.) J. Gay,,,,,,P,D,ES4320039,2023,135,np,203,
1874,P,,Adenocarpus gibbsianus Castrov. & Talavera,,,1.0,1.0,adults,P,"A,B,D",ES6150001,2023,135,np,203,4.0
1875,P,,Adenocarpus hispanicus (Lam.) DC.,,,,,,P,D,ES4320039,2023,135,np,203,
1888,P,,Adonis pyrenaica DC.,,,1.0,1.0,grids10x10,R,D,ES4130035,2023,135,np,203,47.0
1889,P,,Adonis vernalis L.,,,,,i,V,D,ES6140003,2023,135,np,203,36.0
1899,P,,Abies alba Mill.,,,,,,P,D,ES0000015,2023,135,np,203,
1901,P,,Abies pinsapo Boiss.,,,100.0,300.0,i,V,"B,D",ES6120013,2023,135,np,203,36.0
1922,P,,Acer campestre L.,,,,,,P,D,ES4320037,2023,135,np,203,
1924,P,,Acer monspessulanum L.,,,4.0,4.0,i,R,D,ES6160006,2023,135,np,203,36.0
1936,P,,Aethionema thomasianum J. Gay,,,1.0,1.0,grids1x1,R,D,ES4140026,2023,135,np,203,22.0
1988,P,,Alchemilla lapeyrousii Buser,,,,,,P,"B,D",ES0000016,2023,135,np,203,
2011,P,,Allium melananthum Coincy,,,1.0,1.0,grids1x1,,"A,B,D",ES6200006,2023,135,np,203,22.0
2012,P,,Allium moly L.,,,1.0,1.0,grids10x10,R,D,ES4120091,2023,135,np,203,47.0
2019,P,,Allium pruinatum Spreng.,,,23.0,23.0,adults,P,"A,D",ES6150001,2023,135,np,203,4.0
2020,P,,Allium pyrenaicum Costa & Vayreda,,,-1.0,,i,V,"A,B",ES2410001,2023,135,np,203,36.0
2022,P,,Allium rouyi Gaut.,,,,,,P,"A,B,D",ES4210008,2023,135,np,203,
2023,P,,Allium schmitzii Cout.,,,150.0,200.0,i,V,D,ES6180010,2023,135,np,203,36.0
2024,P,,Allium schoenoprasum L.,,,,,i,P,D,ES6140004,2023,135,np,203,36.0
2027,P,,Allium scorzonerifolium DC.,,,,,,P,B,ES0000016,2023,135,np,203,
2029,P,,Allium stearnii Pastor & Valdés,,,,,,R,B,ES2410061,2023,135,np,203,
2033,P,,Allium ursinum L.,,,,,,P,D,ES2410013,2023,135,np,203,
2038,P,,Alnus glutinosa (L.) Gaertn.,,,,,,C,D,ES0000090,2023,135,np,203,
2044,P,,Anthericum baeticum (Boiss.) Boiss.,,,,,,R,B,ES6310001,2023,135,np,203,
2051,P,,Anthyllis hystrix,,,1.0,500.0,i,,,ES0000233,2023,135,p,201,36.0
2051,P,1553,Anthyllis hystrix,,,,,,R,,ES0000230,2023,135,p,201,
2053,P,,Anthyllis lagascana Benedí,,,,,,P,D,ES4210001,2023,135,np,203,
2055,P,,Anthyllis onobrychioides Cav.,,,,,,P,"B,D",ES4210010,2023,135,np,203,
2065,P,,Antirrhinum australe Rothm.,,,,,,P,"B,D",ES4210016,2023,135,np,203,
2067,P,,Antirrhinum charidemi,1.0,,2167.0,4717.0,i,V,,ES0000046,2023,135,p,201,36.0
2077,P,,Althaea officinalis L.,,,,,,P,D,ES1200016,2023,135,np,203,
2078,P,,Althenia orientalis (Tzvelev) García-Mur. & Talavera,,,,,,C,D,ES6170001,2023,135,np,203,
2086,P,,Alyssum granatense Boiss. & Reut.,,,,,,P,B,ES0000183,2023,135,np,203,
2089,P,,Alyssum loiseleurii P. Fourn.,,,,,,P,"A,D",ES2120009,2023,135,np,203,
2114,P,,Amelanchier ovalis Medik.,,,4.0,4.0,i,R,D,ES6140015,2023,135,np,203,36.0
2125,P,,Anchusa calcarea Boiss.,,,2.0,50.0,i,R,D,ES6120020,2023,135,np,203,36.0
2137,P,1844,Androcymbium europaeum,,,1.0,1.0,localities,V,"A,D,IV",ES0000048,2023,135,np,203,35.0
2141,P,,Androsace cantabrica (Losa & P. Monts.) Kress,,,2.0,2.0,grids10x10,V,"A,B,D",ES4130003,2023,135,np,203,47.0
2143,P,,Androsace ciliata DC.,,,,,,P,B,ES0000149,2023,135,np,203,
2144,P,1631,Androsace cylindrica,,,-1.0,,i,,"B,C,IV",ES0000149,2023,135,np,203,36.0
2149,P,,Androsace halleri L.,,,2.0,2.0,grids10x10,R,"A,D",ES4130050,2023,135,np,203,47.0
2152,P,,Androsace lactea L.,,,1.0,1.0,grids10x10,V,D,ES4120030,2023,135,np,203,47.0
2153,P,,Androsace laggeri Huet,,,,,,P,B,ES2410011,2023,135,np,203,
2155,P,,Androsace pyrenaica,,,2.0,2.0,grids1x1,,,ES0000016,2023,135,p,201,22.0
2156,P,,Androsace rioxana A. Segura,,,400.0,1500.0,i,V,"B,D",ES0000067,2023,135,np,203,36.0
2159,P,,Androsace vitaliana (L.) Lapeyr.,,,,,,P,B,ES4320038,2023,135,np,203,
2168,P,,Anemone palmata L.,,,,,,V,D,ES0000265,2023,135,np,203,
2169,P,,Anemone pavoniana Boiss.,,,,,,C,"B,D",ES2200020,2023,135,np,203,
2170,P,,Anemone ranunculoides L.,,,1.0,1.0,grids10x10,V,D,ES4170054,2023,135,np,203,47.0
2177,P,,Angelica pachycarpa Lange,,,,,,P,B,ES0000087,2023,135,np,203,
2178,P,,Angelica razulii Gouan,,,,,,P,B,ES0000016,2023,135,np,203,
2187,P,,Anthyllis ramburii Boiss.,,,12.0,15.0,i,V,"A,D",ES6140003,2023,135,np,203,36.0
2188,P,,Anthyllis rupestris Coss.,,,290.0,290.0,i,V,"A,D",ES0000035,2023,135,np,203,36.0
2199,P,,Antirrhinum grosii Font Quer,,,1.0,1.0,grids10x10,R,"B,D",ES4150101,2023,135,np,203,47.0
2208,P,,Antirrhinum microphyllum Rothm.,,,,,,C,"A,B,D",ES4240018,2023,135,np,203,
2209,P,,Antirrhinum molle L.,,,,,,P,"A,B",ES2410026,2023,135,np,203,
2211,P,,Antirrhinum onubense (Fern. Casas) Fern. Casas,,,74215.0,122964.0,area,P,D,ES0000051,2023,135,np,203,9.0
2212,P,,Antirrhinum pertegasii Rothm.,,,-1.0,,i,,"A,B",ES2420119,2023,135,np,203,36.0
2213,P,,Antirrhinum pulverulentum Lázaro Ibiza,,,,,,P,"B,D",ES4240009,2023,135,np,203,
2215,P,,"Antirrhinum subbaeticum Güemes, Mateu & Sánchez Gómez",,,,,,P,"A,D",ES4210008,2023,135,np,203,
2217,P,,Antirrhinum valentinum Font Quer,,,,,,,B,ES0000451,2023,135,np,203,
2230,P,,Apium bermejoi,,,,,,P,,ES0000235,2023,135,p,201,
2232,P,,Apium inundatum (L.) Rchb. f.,,,,,,V,D,ES2110009,2023,135,np,203,
2235,P,,Apium repens,,,1.0,1.0,grids1x1,V,,ES0000205,2023,135,p,201,22.0
2235,P,1614,Apium repens,,,,,,V,,ES0000465,2023,135,p,201,
2243,P,,Aquilegia pyrenaica subsp. cazorlensis,,,258.0,358.0,tufts,R,,ES6140002,2023,135,p,201,41.0
2249,P,,Aquilegia vulgaris L. subsp. vulgaris,,,,,,P,D,ES6200019,2023,135,np,203,
2256,P,,Arabis alpina L.,,,,,i,V,D,ES6110003,2023,135,np,203,36.0
2262,P,,Arabis juressi Rothm.,,,1.0,1.0,grids10x10,R,"A,B",ES4130010,2023,135,np,203,47.0
2264,P,,Arabis margaritae Talavera,,,,,i,P,"A,B,D",ES6140004,2023,135,np,203,36.0
2268,P,,Arabis parvula Dufour,,,,,,P,D,ES0000183,2023,135,np,203,
2270,P,,Arabis planisiliqua (Pers.) Rchb.,,,,,,V,D,ES0000266,2023,135,np,203,
2273,P,,Arabis serpillifolia Vill.,,,1.0,1.0,grids10x10,V,D,ES4120088,2023,135,np,203,47.0
2284,P,,Arbutus unedo L.,,,1.0,50.0,grids1x1,,D,ES6200022,2023,135,np,203,22.0
2286,P,,Arceuthobium oxycedri (DC.) M. Bieb.,,,,,,R,D,ES6200016,2023,135,np,203,
2291,P,,Arctostaphylos alpinus (L.) Spreng.,,,1.0,1.0,area,,D,ES0000149,2023,135,np,203,9.0
2292,P,,Arctostaphylos uva-ursi (L.) Spreng.,,,4.0,4.0,tufts,V,D,ES6140005,2023,135,np,203,41.0
2296,P,,Arenaria alfacarensis Pamp.,,,550.0,550.0,i,R,"A,B,D,IV",ES6160007,2023,135,np,203,36.0
2297,P,,Arenaria algarbiensis Willk.,,,,,i,R,D,ES6120008,2023,135,np,203,36.0
2299,P,,Arenaria armerina Bory,,,,,,P,"B,D",ES6130002,2023,135,np,203,
2303,P,,Arenaria balearica L.,,,,,,,B,ES0000073,2023,135,np,203,
2305,P,,Arenaria capillipes (Boiss.) Boiss.,,,3000.0,3500.0,i,P,"A,B,D",ES6170006,2023,135,np,203,36.0
2306,P,,Arenaria cavanillesiana (Font Quer & Rivas Goday) Nieto Fel.,,,,,,P,"B,D",ES4250009,2023,135,np,203,
2315,P,,Arenaria erinacea Boiss.,,,,,,V,"B,D",ES2200029,2023,135,np,203,
2317,P,,Arenaria fontqueri Cardona & J.M. Monts.,,,,,,P,B,ES0000015,2023,135,np,203,
2337,P,,Arenaria nevadensis,1.0,,362.0,382.0,i,V,,ES6140004,2023,135,p,201,36.0
2341,P,,Arenaria oscensis (Pau) P. Monts.,,,,,,P,B,ES0000015,2023,135,np,203,
2350,P,,Arenaria tetraquetra L.,,,,,,P,B,ES2410056,2023,135,np,203,
2351,P,,Arenaria tetraquetra L. subsp. tetraquetra,,,2.0,2.0,grids10x10,R,"B,D",ES4170141,2023,135,np,203,47.0
2353,P,,Arenaria tetraquetra subsp. murcica (Font Quer) Favarger & Nieto Fel.,,,100.0,500.0,i,C,D,ES6110003,2023,135,np,203,36.0
2354,P,,Arenaria tomentosa Willk.,,,11.0,11.0,i,V,"A,D",ES6110003,2023,135,np,203,36.0
2356,P,,Arenaria vitoriana Uribe-Ech. & Alejandre,,,,,,V,"B,D",ES2200021,2023,135,np,203,
2365,P,,Armeria villosa subsp. longiaristata (Boiss. & Reut.) Nieto Fel.,,,,,,R,D,ES0000259,2023,135,np,203,
2366,P,,Armeria villosa subsp. provillosa (Bernis) Nieto Fel.,,,,,,P,D,ES4210017,2023,135,np,203,
2378,P,,Asparagus albus L.,,,,,,R,D,ES6320001,2023,135,np,203,
2390,P,,Asperula paui Font Quer,,,,,,,A,ES0000078,2023,135,np,203,
2392,P,,Asperula paui subsp. dianensis (Font Quer) Romo,,,,,,,B,ES5211009,2023,135,np,203,
2412,P,,Argyrolobium uniflorum (Decne.) Jaub. & Spach,,,4.0,4.0,grids1x1,R,"A,D",ES0000257,2023,135,np,203,22.0
2416,P,,Arisarum proboscideum (L.) Savi,,,94.0,94.0,i,V,"A,D",ES0000049,2023,135,np,203,36.0
2418,P,,Arisarum vulgare O. Targ.-Tozz.,,,,,,C,D,ES6320001,2023,135,np,203,
2419,P,,Aristolochia baetica L.,,,,,,C,B,ES6310001,2023,135,np,203,
2420,P,,Aristolochia bianorii Sennen & Pau,,,,,,,B,ES0000073,2023,135,np,203,
2421,P,,Aristolochia clematitis L.,,,,,,,D,ES0000060,2023,135,np,203,
2441,P,,Armeria bigerrensis (C. Vicioso & Beltrán) Rivas Mart.,,,,,,P,B,ES4320038,2023,135,np,203,
2446,P,,Armeria bourgaei Boiss. ex Merino subsp. bourgaei,,,10000.0,200000.0,tufts,C,D,ES6110003,2023,135,np,203,41.0
2447,P,,Armeria bourgaei subsp. lanceobracteata (G.H.M. Lawr.) Nieto Fel.,,,,,tufts,P,D,ES6110003,2023,135,np,203,41.0
2451,P,,Armeria caespitosa (Gómez Ortega) Boiss.,,,,,,C,B,ES3110004,2023,135,np,203,
2452,P,,Armeria cantabrica Willk.,,,,,,P,D,ES2110018,2023,135,np,203,
2453,P,,Armeria capitella Pau,,,28.0,28.0,i,R,D,ES6160005,2023,135,np,203,36.0
2457,P,,Armeria colorata Pau,,,170.0,200.0,i,P,"A,B,D",ES6170006,2023,135,np,203,36.0
2460,P,,Armeria euscadiensis Donad. & Vivant,,,,,,C,"B,D",ES0000144,2023,135,np,203,
2462,P,,Armeria fontqueri Pau,,,,,,P,"A,B",ES2420036,2023,135,np,203,
2463,P,,Armeria gaditana Boiss.,,,500.0,620.0,i,R,"A,D",ES6170002,2023,135,np,203,36.0
2464,P,,Armeria genesiana Nieto Fel.,,,,,,P,A,ES4320011,2023,135,np,203,
